,DeepLearningModel,CompressionMethod,ReferenceFilePath,DecompressedFilePath,CompressedFilePath,FileSizeOriginal,FileSizeCompressed,Metrics,uqi,vifp,vsi,piqe,niqe,brisque
0,residual_gru-0,residual_gru-0,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/decompressed/nightshot_iso_100.png,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/compressed/nightshot_iso_100.tfci,3145745,853,"{'uqi': 0.9364417875061836, 'vifp': 0.09329877247915154, 'vsi': 0.9669724702835083, 'piqe': 47.53195093489987, 'niqe': 26.199982494489515, 'brisque': 106.15567016601562}",0.9364417875061836,0.09329877247915154,0.9669724702835083,47.53195093489987,26.199982494489515,106.15567016601562
1,residual_gru-0,JPEGXR,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/decompressed/JPEGXR/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/compressed/JPEGXR/nightshot_iso_100.jxr,3145745,2920,"{'uqi': 0.9953266126531276, 'vifp': 0.04487597853197361, 'vsi': 0.9991777539253235, 'piqe': 38.903628055538206, 'niqe': 24.924367978037093, 'brisque': 106.82887268066406}",0.9953266126531276,0.04487597853197361,0.9991777539253235,38.903628055538206,24.924367978037093,106.82887268066406
2,residual_gru-0,JPEG,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/decompressed/JPEG/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/compressed/JPEG/nightshot_iso_100.jpeg,3145745,17081,"{'uqi': 0.8609708568791185, 'vifp': 0.020521812195439457, 'vsi': 0.9851021766662598, 'piqe': 34.32321980520143, 'niqe': 26.300967270004428, 'brisque': 111.7294921875}",0.8609708568791185,0.020521812195439457,0.9851021766662598,34.32321980520143,26.300967270004428,111.7294921875
3,residual_gru-0,JPEG2K,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/decompressed/JPEG2K/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-0/compressed/JPEG2K/nightshot_iso_100.j2k,3145745,868,"{'uqi': 0.9872033968490364, 'vifp': 0.033095714744073114, 'vsi': 0.9982861280441284, 'piqe': 42.92864640132841, 'niqe': 22.3016782964827, 'brisque': 111.35939025878906}",0.9872033968490364,0.033095714744073114,0.9982861280441284,42.92864640132841,22.3016782964827,111.35939025878906
4,residual_gru-5,residual_gru-5,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/decompressed/nightshot_iso_100.png,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/compressed/nightshot_iso_100.tfci,3145745,65504,"{'uqi': 0.9906350654478681, 'vifp': 0.08284031273170582, 'vsi': 0.999278724193573, 'piqe': 1.492563859689716, 'niqe': 18.86425900676872, 'brisque': 84.78399658203125}",0.9906350654478681,0.08284031273170582,0.999278724193573,1.492563859689716,18.86425900676872,84.78399658203125
5,residual_gru-5,JPEGXR,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/decompressed/JPEGXR/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/compressed/JPEGXR/nightshot_iso_100.jxr,3145745,57983,"{'uqi': 0.9981063000123873, 'vifp': 0.2175403786698841, 'vsi': 0.9999175667762756, 'piqe': 35.023853752661715, 'niqe': 11.09742619922048, 'brisque': 84.2144775390625}",0.9981063000123873,0.2175403786698841,0.9999175667762756,35.023853752661715,11.09742619922048,84.2144775390625
6,residual_gru-5,JPEG,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/decompressed/JPEG/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/compressed/JPEG/nightshot_iso_100.jpeg,3145745,64258,"{'uqi': 0.9967577279605745, 'vifp': 0.20190301496494342, 'vsi': 0.9997656345367432, 'piqe': 21.36278550773559, 'niqe': 13.360363672542777, 'brisque': 53.9013671875}",0.9967577279605745,0.20190301496494342,0.9997656345367432,21.36278550773559,13.360363672542777,53.9013671875
7,residual_gru-5,JPEG2K,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/decompressed/JPEG2K/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-5/compressed/JPEG2K/nightshot_iso_100.j2k,3145745,65099,"{'uqi': 0.9972747173816491, 'vifp': 0.2663766830783881, 'vsi': 0.999821662902832, 'piqe': 34.778623739058794, 'niqe': 15.663999700592537, 'brisque': 55.6378173828125}",0.9972747173816491,0.2663766830783881,0.999821662902832,34.778623739058794,15.663999700592537,55.6378173828125
8,residual_gru-8,residual_gru-8,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/decompressed/nightshot_iso_100.png,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/compressed/nightshot_iso_100.tfci,3145745,113456,"{'uqi': 0.9917111573840227, 'vifp': 0.10141548758019385, 'vsi': 0.999516487121582, 'piqe': 3.603048171481153, 'niqe': 14.134111561430958, 'brisque': 105.64947509765625}",0.9917111573840227,0.10141548758019385,0.999516487121582,3.603048171481153,14.134111561430958,105.64947509765625
9,residual_gru-8,JPEGXR,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/decompressed/JPEGXR/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/compressed/JPEGXR/nightshot_iso_100.jxr,3145745,106427,"{'uqi': 0.998471772738288, 'vifp': 0.3115635980375801, 'vsi': 0.9999449849128723, 'piqe': 32.50193253147043, 'niqe': 10.352060109061622, 'brisque': 70.68167114257812}",0.998471772738288,0.3115635980375801,0.9999449849128723,32.50193253147043,10.352060109061622,70.68167114257812
10,residual_gru-8,JPEG,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/decompressed/JPEG/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/compressed/JPEG/nightshot_iso_100.jpeg,3145745,110060,"{'uqi': 0.9970600449397075, 'vifp': 0.26571443616552237, 'vsi': 0.9998769164085388, 'piqe': 24.981047493215698, 'niqe': 14.514933902031395, 'brisque': 49.0169677734375}",0.9970600449397075,0.26571443616552237,0.9998769164085388,24.981047493215698,14.514933902031395,49.0169677734375
11,residual_gru-8,JPEG2K,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/decompressed/JPEG2K/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-8/compressed/JPEG2K/nightshot_iso_100.j2k,3145745,113194,"{'uqi': 0.9979854590230374, 'vifp': 0.3302374390441924, 'vsi': 0.9998986124992371, 'piqe': 34.184637344582676, 'niqe': 14.338302409724863, 'brisque': 50.2119140625}",0.9979854590230374,0.3302374390441924,0.9998986124992371,34.184637344582676,14.338302409724863,50.2119140625
12,residual_gru-10,residual_gru-10,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/decompressed/nightshot_iso_100.png,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/compressed/nightshot_iso_100.tfci,3145745,146051,"{'uqi': 0.992196124501957, 'vifp': 0.11400669549344639, 'vsi': 0.9996199011802673, 'piqe': 3.6646713176139554, 'niqe': 13.474770238692802, 'brisque': 98.45794677734375}",0.992196124501957,0.11400669549344639,0.9996199011802673,3.6646713176139554,13.474770238692802,98.45794677734375
13,residual_gru-10,JPEGXR,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/decompressed/JPEGXR/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/compressed/JPEGXR/nightshot_iso_100.jxr,3145745,129700,"{'uqi': 0.9986024194663369, 'vifp': 0.35705308110978057, 'vsi': 0.9999535083770752, 'piqe': 31.901744061038855, 'niqe': 9.866266119798366, 'brisque': 66.36181640625}",0.9986024194663369,0.35705308110978057,0.9999535083770752,31.901744061038855,9.866266119798366,66.36181640625
14,residual_gru-10,JPEG,/home/simon/rep/deep_learning_compression/datasets/ImageCompressionBenchmark8BitRGB/nightshot_iso_100.ppm,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/decompressed/JPEG/nightshot_iso_100.decompress,tmp/compressed_datasets/ImageCompressionBenchmark8BitRGB/residual_gru-10/compressed/JPEG/nightshot_iso_100.jpeg,3145745,130653,"{'uqi': 0.9972321558295105, 'vifp': 0.29489110807042906, 'vsi': 0.9999035596847534, 'piqe': 29.49748081948712, 'niqe': 14.051852353096042, 'brisque': 49.33502197265625}",0.9972321558295105,0.29489110807042906,0.9999035596847534,29.49748081948712,14.051852353096042,49.33502197265625
